x_m,y_m,heading,theta_rad,kappa_1pm,v_mps,ld_m
-0.2632811,12.6616863,0.4021124,0.4021124,-0.0042992,8.4999674,1.5
-0.0792381,12.7399571,0.4014153,0.4014153,-0.0034937,8.4999674,1.5
0.1048573,12.8180987,0.4009094,0.4009094,-0.0025386,8.4999674,1.5
0.2889923,12.8961472,0.4006346,0.4006346,-0.0013840,8.4999674,1.5
0.4731483,12.9741449,0.4006263,0.4006263,-0.0000490,8.4999674,3.0
0.6573050,13.0521411,0.4009203,0.4009203,0.0014639,8.4999674,3.0
0.8414389,13.1301915,0.4015514,0.4015514,0.0031459,8.4999674,3.0
1.0255240,13.2083583,0.4025495,0.4025495,0.0049861,8.4999674,3.0
1.2095315,13.2867090,0.4039443,0.4039443,0.0069692,8.4999674,2.5
1.3934303,13.3653166,0.4057605,0.4057605,0.0090755,8.4999674,2.5
1.5771868,13.4442584,0.4080165,0.4080165,0.0112792,8.4999675,2.5
1.7607655,13.5236149,0.4107262,0.4107262,0.0135480,8.4999675,2.5
1.9441293,13.6034689,0.4138938,0.4138938,0.0158419,8.4999675,2.5
2.1272399,13.6839036,0.4175152,0.4175152,0.0181130,8.4999676,3.0
2.3100585,13.7650011,0.4215732,0.4215732,0.0203046,8.4999676,3.0
2.4925469,13.8468400,0.4260391,0.4260391,0.0223508,8.4999677,2.5
2.6746681,13.9294931,0.4308685,0.4308685,0.0241760,8.4999677,2.5
2.8563881,14.0130248,0.4359990,0.4359990,0.0256937,8.4999678,2.5
3.0376767,14.0974875,0.4413484,0.4413484,0.0268052,8.4999678,2.0
3.2185103,14.1829185,0.4468148,0.4468148,0.0274000,8.4999678,2.0
3.3988733,14.2693363,0.4522696,0.4522696,0.0273576,8.4999678,2.0
3.5787611,14.3567361,0.4575588,0.4575588,0.0265510,8.4999677,1.5
3.7581828,14.4450855,0.4625074,0.4625074,0.0248527,8.4999676,1.5
3.9371635,14.5343209,0.4669118,0.4669118,0.0221416,8.4999675,1.5
4.1157480,14.6243430,0.4705503,0.4705503,0.0183135,8.4999673,2.0
4.2940020,14.7150134,0.4731874,0.4731874,0.0133016,8.4999670,2.0
4.4720150,14.8061529,0.4745819,0.4745819,0.0070733,8.4999668,2.0
4.6498989,14.8975396,0.4744953,0.4744953,-0.0003429,8.4999667,2.0
4.8277907,14.9889109,0.4726989,0.4726989,-0.0089668,8.4999670,2.0
5.0058460,15.0799623,0.4690716,0.4690716,-0.0180990,8.4999680,2.0
5.1842082,15.1703560,0.4634649,0.4634649,-0.0279345,8.4999702,1.5
5.3630799,15.2597510,0.4554884,0.4554884,-0.0399317,8.4999736,1.5
5.5427004,15.3477367,0.4450609,0.4450609,-0.0521810,8.4999769,1.5
5.7232419,15.4338510,0.4324016,0.4324016,-0.0633319,8.4999785,1.5
5.9048579,15.5176724,0.4177292,0.4177292,-0.0734071,8.4999775,1.5
