x_m,y_m,heading,theta_rad,kappa_1pm,v_mps,ld_m
33.4060245,-79.8285487,3.1254333,3.1254333,-0.0309984,8.4999682,1.274995
33.2060644,-79.8253172,3.1212643,3.1212643,-0.0195960,8.4999682,1.274995
33.0060951,-79.8212516,3.1179497,3.1179497,-0.0166029,8.4999682,1.274995
32.8061488,-79.8165234,3.1151755,3.1151755,-0.0138453,8.4999682,1.274995
32.6062302,-79.8112409,3.1129079,3.1129079,-0.0112463,8.4999681,1.274995
32.4063251,-79.8055051,3.1109825,3.1109825,-0.0095769,8.4999681,1.274995
32.2064341,-79.7993845,3.1092327,3.1092327,-0.0087009,8.4999680,1.274995
32.0065562,-79.7929142,3.1075173,3.1075173,-0.0085396,8.4999679,1.274995
31.8066914,-79.7861011,3.1056997,3.1056997,-0.0090506,8.4999679,1.274995
31.6068410,-79.7789248,3.1036493,3.1036493,-0.0102158,8.4999678,1.274995
31.4070076,-79.7713388,3.1012342,3.1012342,-0.0120368,8.4999677,1.274995
31.2071951,-79.7632703,3.0983228,3.0983228,-0.0145210,8.4999676,1.274995
31.0074095,-79.7546202,3.0947795,3.0947795,-0.0176769,8.4999675,1.274995
30.8076589,-79.7452624,3.0904701,3.0904701,-0.0215062,8.4999674,1.274995
30.6079546,-79.7350441,3.0852621,3.0852621,-0.0259987,8.4999674,1.274995
30.4083118,-79.7237862,3.0790301,3.0790301,-0.0311242,8.4999674,1.274995
30.2087502,-79.7112848,3.0716570,3.0716570,-0.0368326,8.4999674,1.274995
30.0092951,-79.6973130,3.0630430,3.0630430,-0.0430406,8.4999676,1.274995
29.8099788,-79.6816245,3.0530912,3.0530912,-0.0497517,8.4999679,1.274995
29.6108414,-79.6639544,3.0417371,3.0417371,-0.0568164,8.4999683,1.274995
29.4118481,-79.6440175,3.0289941,3.0289941,-0.0637773,8.4999686,1.274995
29.2130938,-79.6215430,3.0149389,3.0149389,-0.0703347,8.4999687,1.274995
29.0146893,-79.5962791,2.9997002,2.9997002,-0.0762574,8.4999683,1.274995
28.8167116,-79.5679975,2.9834511,2.9834511,-0.0813162,8.4999673,1.274995
28.6192389,-79.5365059,2.9663939,2.9663939,-0.0853639,8.4999655,1.274995
28.4223569,-79.5016551,2.9487538,2.9487538,-0.0882855,8.4999632,1.274994
28.2261264,-79.4633381,2.9306714,2.9306714,-0.0902799,8.4999615,1.274994
28.0306412,-79.4214836,2.9120339,2.9120339,-0.0937070,8.4999614,1.274994
27.8359622,-79.3759914,2.8934790,2.8934790,-0.0930248,8.4999618,1.274994
27.6421975,-79.3269043,2.8754346,2.8754346,-0.0899638,8.4999625,1.274994
27.4493177,-79.2743202,2.8577818,2.8577818,-0.0885148,8.4999632,1.274994
27.2573852,-79.2183364,2.8408989,2.8408989,-0.0844981,8.4999639,1.274995
27.0663989,-79.1591122,2.8250964,2.8250964,-0.0790919,8.4999646,1.274995
