x_m,y_m,heading,theta_rad,kappa_1pm,v_mps
-41.3476806,27.4932292,-2.3604218,-2.3604218,0.1232154,7.8020365
-41.4895728,27.3525316,-2.3367889,-2.3367889,0.1177325,7.7971390
-41.6281150,27.2085053,-2.3133086,-2.3133086,0.1187271,7.7933083
-41.7631553,27.0613556,-2.2884039,-2.2884039,0.1201343,7.7907361
-41.8941931,26.9112282,-2.2584194,-2.2584194,0.1527638,7.7893757
-42.0209320,26.7569222,-2.2272122,-2.2272122,0.1559414,7.7891449
-42.1430570,26.5983961,-2.1955504,-2.1955504,0.1583190,7.7899357
-42.2601135,26.4360680,-2.1632930,-2.1632930,0.1612727,7.7915705
-42.3718723,26.2700512,-2.1311679,-2.1311679,0.1604464,7.7938187
-42.4782450,26.1005241,-2.0996558,-2.0996558,0.1572807,7.7964241
-42.5792331,25.9277135,-2.0690443,-2.0690443,0.1527341,7.7991500
-42.6748893,25.7518845,-2.0395042,-2.0395042,0.1474025,7.8018356
-42.7653034,25.5733210,-2.0111246,-2.0111246,0.1416794,7.8044681
-42.8505957,25.3923031,-1.9839435,-1.9839435,0.1357934,7.8072848
-42.9309123,25.2090900,-1.9579692,-1.9579692,0.1298639,7.8109406
-43.0064205,25.0239092,-1.9332147,-1.9332147,0.1238591,7.8168123
-43.0773069,24.8369559,-1.9097750,-1.9097750,0.1174194,7.8275837
-43.1437891,24.6484011,-1.8880200,-1.8880200,0.1093706,7.8483346
-43.2061610,24.4584230,-1.8689632,-1.8689632,0.0964791,7.8878790
-43.2649149,24.2672470,-1.8542764,-1.8542764,0.0740054,7.9567080
-43.3208644,24.0751958,-1.8454554,-1.8454554,0.0450867,8.0569567
-43.3750776,23.8828007,-1.8430550,-1.8430550,0.0104584,8.1795209
-43.4287788,23.6904552,-1.8441173,-1.8441173,-0.0063418,8.3075717
-43.4827203,23.4980384,-1.8472812,-1.8472812,-0.0152740,8.4210111
-43.5372940,23.3057098,-1.8539295,-1.8539295,-0.0333033,8.4871737
-43.5931550,23.1137144,-1.8641376,-1.8641376,-0.0512389,8.4968285
-43.6509883,22.9222484,-1.8772954,-1.8772954,-0.0660383,8.4962482
-43.7113421,22.7315400,-1.8924544,-1.8924544,-0.0760363,8.4957907
-43.7745827,22.5417597,-1.9086144,-1.9086144,-0.0810629,8.4956265
-43.8408807,22.3530291,-1.9247542,-1.9247542,-0.0810342,8.4957673
-43.9102123,22.1654031,-1.9397542,-1.9397542,-0.0754300,8.4960647
-43.9823443,21.9788539,-1.9523835,-1.9523835,-0.0636087,8.4963730
-44.0568185,21.7932504,-1.9615017,-1.9615017,-0.0458628,8.4966532
-44.1329720,21.6083578,-1.9664162,-1.9664162,-0.0244865,8.4968961
-44.2100208,21.4238715,-1.9671279,-1.9671279,-0.0030633,8.4970586
-44.2872009,21.2394400,-1.9641936,-1.9641936,0.0153998,8.4970874
-44.3638920,21.0546563,-1.9584500,-1.9584500,0.0292474,8.4969160
-44.4395088,20.8694639,-1.9507435,-1.9507435,0.0388365,8.4966513
-44.5136766,20.6837433,-1.9416801,-1.9416801,0.0452475,8.4964585
-44.5861150,20.4974690,-1.9304023,-1.9304023,0.0565834,8.4963189
-44.6563922,20.3105382,-1.9173230,-1.9173230,0.0658098,8.4962527
-44.7242768,20.1225429,-1.9037202,-1.9037202,0.0676849,8.4962591
-44.7896522,19.9334847,-1.8889804,-1.8889804,0.0740051,8.4963121
-44.8522445,19.7434513,-1.8733574,-1.8733574,0.0784730,8.4963839
-44.9118422,19.5525215,-1.8574606,-1.8574606,0.0798992,8.4964582
-44.9683644,19.3607802,-1.8418091,-1.8418091,0.0785982,8.4965269
-45.0218890,19.1681409,-1.8268283,-1.8268283,0.0751470,8.4965868
-45.0725287,18.9746951,-1.8128409,-1.8128409,0.0700970,8.4966370
-45.1204622,18.7805418,-1.8000562,-1.8000562,0.0640197,8.4966781
-45.1659122,18.5857807,-1.7885721,-1.7885721,0.0574576,8.4967112
-45.2091237,18.3905055,-1.7783974,-1.7783974,0.0508660,8.4967374
-45.2503460,18.1948014,-1.7694728,-1.7694728,0.0445835,8.4967574
-45.2898188,17.9987436,-1.7616918,-1.7616918,0.0388346,8.4967717
-45.3277612,17.8024037,-1.7549199,-1.7549199,0.0337680,8.4967808
-45.3643726,17.6058143,-1.7490054,-1.7490054,0.0294536,8.4967854
-45.3998237,17.4089948,-1.7438163,-1.7438163,0.0260722,8.4967863
-45.4342557,17.2119786,-1.7393720,-1.7393720,0.0218825,8.4967846
-45.4678104,17.0148194,-1.7352187,-1.7352187,0.0203443,8.4967819
-45.5005422,16.8175451,-1.7306619,-1.7306619,0.0229543,8.4967801
-45.5323747,16.6201239,-1.7256935,-1.7256935,0.0247354,8.4967802
-45.5632260,16.4225466,-1.7202371,-1.7202371,0.0272523,8.4967828
-45.5929983,16.2248071,-1.7141399,-1.7141399,0.0304423,8.4967884
-45.6215643,16.0268904,-1.7072867,-1.7072867,0.0342435,8.4967979
-45.6487730,15.8287846,-1.6995750,-1.6995750,0.0385433,8.4968115
-45.6744530,15.6304763,-1.6909358,-1.6909358,0.0431926,8.4968286
-45.6984186,15.4319555,-1.6813353,-1.6813353,0.0480176,8.4968471
-45.7204770,15.2332158,-1.6707777,-1.6707777,0.0528164,8.4968627
-45.7404358,15.0342563,-1.6593128,-1.6593128,0.0573674,8.4968687
-45.7581121,14.8350832,-1.6470377,-1.6470377,0.0614421,8.4968556
-45.7733421,14.6357100,-1.6340917,-1.6340917,0.0648038,8.4968115
-45.7859897,14.4361581,-1.6206576,-1.6206576,0.0672747,8.4967210
-45.7959554,14.2364553,-1.6069589,-1.6069589,0.0685591,8.4965562
-45.8031845,14.0366368,-1.5932127,-1.5932127,0.0689770,8.4961167
-45.8076663,13.8367360,-1.5798095,-1.5798095,0.0667122,8.4871921
-45.8094684,13.6368012,-1.5662723,-1.5662723,0.0672649,8.3846474
-45.8085638,13.4368468,-1.5515443,-1.5515443,0.0740267,8.2491707
-45.8047151,13.2369603,-1.5358979,-1.5358979,0.0780728,8.1173895
-45.7977423,13.0372390,-1.5192559,-1.5192559,0.0830365,7.9902669
-45.7874441,12.8376077,-1.5007860,-1.5007860,0.0925285,7.8675243
-45.7734538,12.6381023,-1.4804317,-1.4804317,0.1017575,7.7488008
-45.7554046,12.4389089,-1.4583857,-1.4583857,0.1101939,7.6338919
-45.7329682,12.2401571,-1.4345693,-1.4345693,0.1190159,7.5228764
-45.7058031,12.0419816,-1.4088851,-1.4088851,0.1283501,7.4159800
-45.6735570,11.8445659,-1.3812872,-1.3812872,0.1379040,7.3134347
-45.6358761,11.6481177,-1.3517655,-1.3517655,0.1475479,7.2154011
-45.5924159,11.4528805,-1.3203659,-1.3203659,0.1569962,7.1219069
-45.5428537,11.2591271,-1.2871940,-1.2871940,0.1659774,7.0328051
-45.4869019,11.0671554,-1.2524200,-1.2524200,0.1741612,6.9477342
-45.4243211,10.8772798,-1.2162800,-1.2162800,0.1812108,6.8660459
-45.3549181,10.6897827,-1.1791078,-1.1791078,0.1864623,6.7865065
-45.2785597,10.5049090,-1.1412995,-1.1412995,0.1893457,6.7036288
-45.1952729,10.3230649,-1.1031341,-1.1031341,0.1909849,6.6144188
-45.1051229,10.1445601,-1.0647645,-1.0647645,0.1919917,6.5185381
-45.0082162,9.9696889,-1.0261825,-1.0261825,0.1924520,6.4160133
-44.9046687,9.7987391,-0.9868696,-0.9868696,0.1965732,6.3069194
-44.7944098,9.6318812,-0.9470464,-0.9470464,0.1996778,6.1909886
-44.6775764,9.4695191,-0.9070713,-0.9070713,0.1984352,6.0684262
-44.5543514,9.3119607,-0.8657281,-0.8657281,0.2069809,5.9389551
-44.4247429,9.1596574,-0.8230707,-0.8230707,0.2132208,5.8018148
-44.2887761,9.0130399,-0.7790269,-0.7790269,0.2202930,5.6562099
-44.1465163,8.8725814,-0.7335899,-0.7335899,0.2268103,5.5014054
-43.9980598,8.7387622,-0.6856722,-0.6856722,0.2389447,5.3408067
-43.8433998,8.6122370,-0.6337751,-0.6337751,0.2600792,5.2040683
-43.6822035,8.4937718,-0.5780307,-0.5780307,0.2789299,5.1010824
-43.5147266,8.3845170,-0.5190655,-0.5190655,0.2950873,5.0225780
-43.3411615,8.2853555,-0.4573624,-0.4573624,0.3087847,4.9634293
-43.1618339,8.1970962,-0.3932242,-0.3932242,0.3209154,4.9203128
-42.9771903,8.1205007,-0.3268686,-0.3268686,0.3315693,4.8911545
-42.7879727,8.0563503,-0.2584607,-0.2584607,0.3423419,4.8744562
-42.5948909,8.0053045,-0.1871809,-0.1871809,0.3582967,4.8666274
-42.3986845,7.9681434,-0.1146022,-0.1146022,0.3642409,4.8653916
-42.1999399,7.9452666,-0.0430759,-0.0430759,0.3570217,4.8682714
-41.9999728,7.9366475,0.0278575,0.0278575,0.3546568,4.8729913
-41.7999674,7.9422206,0.0982651,0.0982651,0.3523129,4.8778892
-41.6009151,7.9618437,0.1682558,0.1682558,0.3504527,4.8819087
-41.4038219,7.9953223,0.2381151,0.2381151,0.3496616,4.8842787
-41.2095098,8.0424857,0.3082301,0.3082301,0.3507339,4.8844909
-41.0189493,8.1031558,0.3790141,0.3790141,0.3539147,4.8819772
-40.8331256,8.1771638,0.4508982,0.4508982,0.3592510,4.8760710
-40.6530599,8.2643450,0.5242752,0.5242752,0.3665198,4.8659515
-40.4798290,8.3645162,0.5993874,0.5993874,0.3750392,4.8506032
-40.3145788,8.4774214,0.6763147,0.6763147,0.3839160,4.8289747
-40.1585279,8.6026654,0.7548387,0.7548387,0.3925760,4.8058847
-40.0129860,8.7395731,0.8328811,0.8328811,0.3930091,4.7943074
-39.8789713,8.8869596,0.9063593,0.9063593,0.3690756,4.8016495
-39.7552709,9.0448940,0.9703864,0.9703864,0.3251507,4.8337554
-39.6427015,9.2092916,1.0220851,1.0220851,0.2524614,4.8824066
-39.5386866,9.3794359,1.0707096,1.0707096,0.2417541,4.9407408
-39.4428703,9.5547903,1.1233020,1.1233020,0.2628576,5.0008743
-39.3562189,9.7353259,1.1809041,1.1809041,0.2886339,5.0589069
-39.2804358,9.9197449,1.2421685,1.2421685,0.3073544,5.1128966
-39.2159214,10.1089409,1.3054833,1.3054833,0.3167519,5.1628689
-39.1634553,10.3020307,1.3692465,1.3692465,0.3188457,5.2088928
-39.1233946,10.4980952,1.4318201,1.4318201,0.3130839,5.2523805
-39.0956779,10.6962444,1.4913831,1.4913831,0.2982627,5.2982889
-39.0798091,10.8956499,1.5460677,1.5460677,0.2739674,5.3538669
-39.0748637,11.0955959,1.5941651,1.5941651,0.2406966,5.4255662
-39.0795369,11.2955357,1.6347204,1.6347204,0.2025578,5.5159488
-39.0923127,11.4951224,1.6678105,1.6678105,0.1650938,5.6235038
-39.1116855,11.6941860,1.6941128,1.6941128,0.1311899,5.7451969
-39.1362883,11.8926831,1.7144062,1.7144062,0.1012042,5.8782296
-39.1649157,12.0906522,1.7294161,1.7294161,0.0749011,6.0203208
-39.1965128,12.2881790,1.7396544,1.7396544,0.0509248,6.1695034
-39.2301263,12.4853471,1.7460782,1.7460782,0.0319254,6.3239377
-39.2650004,12.6822654,1.7497681,1.7497681,0.0183372,6.4817488
-39.3006009,12.8790539,1.7513842,1.7513842,0.0079701,6.6410524
-39.3365197,13.0757863,1.7515412,1.7515412,0.0006743,6.8001803
-39.3724691,13.2725115,1.7506539,1.7506539,-0.0044165,6.9569420
-39.4082436,13.4692667,1.7485599,1.7485599,-0.0103397,7.1088443
-39.4436056,13.6660941,1.7448312,1.7448312,-0.0185377,7.2544566
-39.4782332,13.8630506,1.7391164,1.7391164,-0.0284875,7.3924051
-39.5117346,14.0602013,1.7311915,1.7311915,-0.0395854,7.5213237
-39.5436726,14.2576115,1.7209913,1.7209913,-0.0510028,7.6400870
-39.5735954,14.4553375,1.7085658,1.7085658,-0.0621474,7.7479453
-39.6010591,14.6534200,1.6940367,1.6940367,-0.0726805,7.8444752
-39.6256419,14.8518794,1.6775787,1.6775787,-0.0823392,7.9295348
-39.6469550,15.0507140,1.6594212,1.6594212,-0.0908499,8.0033159
-39.6646538,15.2498956,1.6398305,1.6398305,-0.0980362,8.0663672
-39.6784470,15.4493806,1.6190923,1.6190923,-0.1036915,8.1195485
-39.6880998,15.6490928,1.5972211,1.5972211,-0.1094821,8.1639335
-39.6933813,15.8489159,1.5744627,1.5744627,-0.1141606,8.2006730
-39.6941142,16.0488139,1.5515098,1.5515098,-0.1146343,8.2308651
-39.6902582,16.2487216,1.5282821,1.5282821,-0.1162400,8.2555383
-39.6817600,16.4484920,1.5047077,1.5047077,-0.1179062,8.2756182
-39.6685548,16.6480115,1.4808664,1.4808664,-0.1192647,8.2918817
-39.6505965,16.8471651,1.4568109,1.4568109,-0.1203117,8.3048455
-39.6278536,17.0458249,1.4325801,1.4325801,-0.1211886,8.3151646
-39.6003046,17.2438722,1.4082031,1.4082031,-0.1219189,8.3233335
-39.5679366,17.4411883,1.3837005,1.3837005,-0.1225467,8.3297014
-39.5307439,17.6376529,1.3590878,1.3590878,-0.1230931,8.3345566
-39.4887270,17.8331447,1.3343785,1.3343785,-0.1235750,8.3381390
-39.4418923,18.0275414,1.3095825,1.3095825,-0.1240030,8.3406505
-39.3902514,18.2207203,1.2847108,1.2847108,-0.1243840,8.3422637
-39.3338213,18.4125585,1.2597703,1.2597703,-0.1247223,8.3431289
-39.2726237,18.6029329,1.2347699,1.2347699,-0.1250201,8.3433802
-39.2066853,18.7917208,1.2097177,1.2097177,-0.1252787,8.3431404
-39.1360376,18.9788002,1.1846216,1.1846216,-0.1254983,8.3425247
-39.0607169,19.1640498,1.1594891,1.1594891,-0.1256789,8.3416439
-38.9807641,19.3473495,1.1343307,1.1343307,-0.1258210,8.3406061
-38.8962332,19.5285635,1.1091523,1.1091523,-0.1259229,8.3395183
-38.8071706,19.7075845,1.0839611,1.0839611,-0.1259888,8.3384862
-38.7136260,19.8843072,1.0587623,1.0587623,-0.1260237,8.3375977
-38.6156575,20.0586184,1.0335628,1.0335628,-0.1260287,8.3369227
-38.5133271,20.2304073,1.0083722,1.0083722,-0.1259828,8.3365159
-38.4067014,20.3995654,0.9832029,0.9832029,-0.1258723,8.3364369
-38.2958516,20.5659876,0.9580629,0.9580629,-0.1257206,8.3367553
-38.1808528,20.7295716,0.9329590,0.9329590,-0.1255398,8.3375380
-38.0617836,20.8902181,0.9078986,0.9078986,-0.1253245,8.3388473
-37.9387259,21.0478311,0.8828881,0.8828881,-0.1250713,8.3407363
-37.8117648,21.2023178,0.8579361,0.8579361,-0.1247790,8.3432467
-37.6809887,21.3535890,0.8330499,0.8330499,-0.1244496,8.3464064
-37.5464886,21.5015595,0.8082364,0.8082364,-0.1240864,8.3502297
