x_m,y_m,heading,theta_rad,kappa_1pm,v_mps
-12.6249501,24.5272016,0.0323011,0.0323011,-0.0006677,8.4999677
-12.4250977,24.5336593,0.0322075,0.0322075,-0.0004635,8.4999677
-12.2252447,24.5400983,0.0321495,0.0321495,-0.0002883,8.4999677
-12.0253914,24.5465257,0.0321205,0.0321205,-0.0001404,8.4999677
-11.8255378,24.5529473,0.0321165,0.0321165,-0.0000177,8.4999677
-11.6256843,24.5593681,0.0321325,0.0321325,0.0000820,8.4999677
-11.4258308,24.5657921,0.0321645,0.0321645,0.0001610,8.4999677
-11.2259775,24.5722225,0.0322080,0.0322080,0.0002215,8.4999677
-11.0261245,24.5786616,0.0322611,0.0322611,0.0002658,8.4999677
-10.8262719,24.5851113,0.0323201,0.0323201,0.0002961,8.4999677
-10.6264196,24.5915728,0.0323827,0.0323827,0.0003144,8.4999677
-10.4265677,24.5980468,0.0324472,0.0324472,0.0003226,8.4999677
-10.2267162,24.6045337,0.0325113,0.0325113,0.0003224,8.4999677
-10.0268652,24.6110334,0.0325743,0.0325743,0.0003156,8.4999677
-9.8270146,24.6175457,0.0326353,0.0326353,0.0003035,8.4999677
-9.6271643,24.6240702,0.0326924,0.0326924,0.0002874,8.4999677
-9.4273144,24.6306061,0.0327459,0.0327459,0.0002684,8.4999677
-9.2274649,24.6371527,0.0327955,0.0327955,0.0002475,8.4999677
-9.0276157,24.6437092,0.0328405,0.0328405,0.0002256,8.4999677
-8.8277668,24.6502747,0.0328815,0.0328815,0.0002032,8.4999677
-8.6279181,24.6568484,0.0329176,0.0329176,0.0001810,8.4999677
-8.4280697,24.6634293,0.0329491,0.0329491,0.0001594,8.4999677
-8.2282215,24.6700165,0.0329776,0.0329776,0.0001388,8.4999677
-8.0283735,24.6766094,0.0330011,0.0330011,0.0001194,8.4999677
-7.8285256,24.6832070,0.0330211,0.0330211,0.0001015,8.4999677
-7.6286779,24.6898086,0.0330387,0.0330387,0.0000850,8.4999677
-7.4288303,24.6964137,0.0330522,0.0330522,0.0000702,8.4999677
-7.2289827,24.7030215,0.0330642,0.0330642,0.0000570,8.4999677
-7.0291353,24.7096317,0.0330727,0.0330727,0.0000453,8.4999677
-6.8292879,24.7162436,0.0330802,0.0330802,0.0000352,8.4999677
-6.6294405,24.7228570,0.0330852,0.0330852,0.0000266,8.4999677
-6.4295932,24.7294714,0.0330892,0.0330892,0.0000194,8.4999677
-6.2297459,24.7360866,0.0330922,0.0330922,0.0000135,8.4999677
-6.0298987,24.7427024,0.0330937,0.0330937,0.0000088,8.4999677
-5.8300514,24.7493185,0.0330947,0.0330947,0.0000051,8.4999677
-5.6302041,24.7559348,0.0330952,0.0330952,0.0000024,8.4999677
-5.4303569,24.7625512,0.0330957,0.0330957,0.0000006,8.4999677
-5.2305096,24.7691677,0.0330952,0.0330952,-0.0000005,8.4999677
-5.0306624,24.7757841,0.0330952,0.0330952,-0.0000009,8.4999677
-4.8308151,24.7824005,0.0330947,0.0330947,-0.0000008,8.4999677
-4.6309679,24.7890168,0.0330952,0.0330952,-0.0000001,8.4999677
-4.4311206,24.7956332,0.0330952,0.0330952,0.0000010,8.4999677
-4.2312734,24.8022496,0.0330952,0.0330952,0.0000024,8.4999677
-4.0314261,24.8088660,0.0330967,0.0330967,0.0000040,8.4999677
-3.8315789,24.8154827,0.0330977,0.0330977,0.0000059,8.4999677
